Name,ShortName,Service,PID,ModeAndPID,Header,Module,Network,Equation_Metric,Min_Metric,Max_Metric,Unit_Metric,Equation_Imperial,Min_Imperial,Max_Imperial,Unit_Imperial,VehicleScope,DataClass,Status,Source,Notes
Engine Run Time,ERT,22,1126,221126,Auto,Auto,Auto,A,0.0,255.0,s,A,0.0,255.0,s,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Evaporative Purge Commanded,Evap Purge Command,22,1166,221166,Auto,Auto,Auto,((A*256)+B)/327.68,0.0,100.0,%,((A*256)+B)/327.68,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Ignition Timing Cylinder 1,Ign Timing Cyl 1,22,116B,22116B,Auto,Auto,Auto,((signed(A)*256)+B)/4,-80.0,80.0,°,((signed(A)*256)+B)/4,-80.0,80.0,°,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
DPF Differential Pressure,DPF dP,22,116C,22116C,7E0,PCM/ECM,HS-CAN likely,(((A*256)+B)*0.01)/0.145038,0.0,689.4744825494008,kPa,((A*256)+B)*0.01,0.0,100.0,psi,Ford PowerStroke / TDCi,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Vehicle Power Battery,VPWR,22,1172,221172,Auto,Auto,Auto,A/16,0.0,20.0,V,A/16,0.0,20.0,V,Ford Extended (Mode 22),ford_extended_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Intake Air Temperature Sensor Voltage,IAT Sensor V,22,1279,221279,Auto,Auto,Auto,((A*256)+B)/204.6,0.0,5.0,V,((A*256)+B)/204.6,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Engine Oil Temp 7.3 °F,EOT 7.3,22,1310,221310,C410F1,Powertrain/Ford extended,Ford extended / protocol-specific,(((((A*256)+B)/100)-40)-32)*5/9,-40.0,148.88888888888889,°C,(((A*256)+B)/100)-40,-40.0,300.0,°F,Ford PowerStroke 7.3L [3],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Fuel Pulse Width 7.3,FPW 7.3,22,1410,221410,C410F1,Powertrain/Ford extended,Ford extended / protocol-specific,((A*256)+B)*0.008,0.0,8.0,ms,((A*256)+B)*0.008,0.0,8.0,ms,Ford PowerStroke 7.3L [3],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Injection Control Press 7.3,ICP 7.3,22,1446,221446,C410F1,Powertrain/Ford extended,Ford extended / protocol-specific,(((A*256)+B)*0.004)/0.145038,0.0,27578.979301976033,kPa,((A*256)+B)*0.004,0.0,4000.0,psi,Ford PowerStroke 7.3L [3],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Injector Balance Rate 1,Inj Bal 1,22,1635,221635,Auto,Auto,Auto,((A*256+B)-32768)/64,-100.0,100.0,mm3,((A*256+B)-32768)/64,-100.0,100.0,mm3,Ford TDCi / Duramax,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Injector Balance Rate 2,Inj Bal 2,22,1636,221636,Auto,Auto,Auto,((A*256+B)-32768)/64,-100.0,100.0,mm3,((A*256+B)-32768)/64,-100.0,100.0,mm3,Ford TDCi / Duramax,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Injector Balance Rate 3,Inj Bal 3,22,1637,221637,Auto,Auto,Auto,((A*256+B)-32768)/64,-100.0,100.0,mm3,((A*256+B)-32768)/64,-100.0,100.0,mm3,Ford TDCi / Duramax,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Injector Balance Rate 4,Inj Bal 4,22,1638,221638,Auto,Auto,Auto,((A*256+B)-32768)/64,-100.0,100.0,mm3,((A*256+B)-32768)/64,-100.0,100.0,mm3,Ford TDCi / Duramax,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Transmission Fluid Temp 7.3,TFT 7.3,22,1674,221674,C410F1,Powertrain/Ford extended,Ford extended / protocol-specific,((((A*256)+B)/8)-32)*5/9,-17.77777777777778,148.88888888888889,°C,((A*256)+B)/8,0.0,300.0,°F,Ford PowerStroke 7.3L [3],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
FlexFuel Inferred Ethanol % (Alt),Eth % Alt,22,16AB,2216AB,C410F1,Powertrain/Ford extended,Ford extended / protocol-specific,A*(100/255),0.0,100.0,%,A*(100/255),0.0,100.0,%,Ford FlexFuel,flexfuel_non_smax,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Generator Field Current,GEN FLD,22,16E8,2216E8,Auto,Auto,Auto,(A*256+B)*(200/32767),0.0,100.0,%,(A*256+B)*(200/32767),0.0,100.0,%,Ford Extended (Mode 22),ford_extended_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Transmission Fluid Temp C,TFT °C,22,1E1C,221E1C,Auto,Auto,Auto,((signed(A)*256)+B)/16,-40.0,160.0,°C,((((signed(A)*256)+B)/16)*9/5)+32,-40.0,320.0,°F,Ford 6R80/10R80,transmission_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Transmission Fluid Temp F,TFT °F,22,1E1C,221E1C,Auto,Auto,Auto,((((signed(A)*256)+B)*(9/80)+32)-32)*5/9,-40.0,148.88888888888889,°C,((signed(A)*256)+B)*(9/80)+32,-40.0,300.0,°F,Ford 6R80/10R80,transmission_candidate,candidate,User-provided Gemini deepsearch,Candidate Ford extended PID; confirm on vehicle.
Current Gear Ratio,Gear Ratio,22,1E23,221E23,Auto,Auto,Auto,((A*256)+B)/4096,0.0,30.0,,((A*256)+B)/4096,0.0,30.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Tire Pressure Left Front,LF Tire,22,2813,222813,726,BdyCM/BCM,MS-CAN likely,((A*256+B)/20)/0.145038,0.0,413.6846895296405,kPa,(A*256+B)/20,0.0,60.0,psi,Ford 2011+ BdyCM TPMS,body_tpms_candidate,candidate,User-provided Gemini deepsearch,Could be relevant on some Ford BCM/TPMS implementations; confirm module/header on S-Max.
Tire Pressure Right Front,RF Tire,22,2814,222814,726,BdyCM/BCM,MS-CAN likely,((A*256+B)/20)/0.145038,0.0,413.6846895296405,kPa,(A*256+B)/20,0.0,60.0,psi,Ford 2011+ BdyCM TPMS,body_tpms_candidate,candidate,User-provided Gemini deepsearch,Could be relevant on some Ford BCM/TPMS implementations; confirm module/header on S-Max.
Tire Pressure Right Rear,RR Tire,22,2815,222815,726,BdyCM/BCM,MS-CAN likely,((A*256+B)/20)/0.145038,0.0,413.6846895296405,kPa,(A*256+B)/20,0.0,60.0,psi,Ford 2011+ BdyCM TPMS,body_tpms_candidate,candidate,User-provided Gemini deepsearch,Could be relevant on some Ford BCM/TPMS implementations; confirm module/header on S-Max.
Tire Pressure Left Rear,LR Tire,22,2816,222816,726,BdyCM/BCM,MS-CAN likely,((A*256+B)/20)/0.145038,0.0,413.6846895296405,kPa,(A*256+B)/20,0.0,60.0,psi,Ford 2011+ BdyCM TPMS,body_tpms_candidate,candidate,User-provided Gemini deepsearch,Could be relevant on some Ford BCM/TPMS implementations; confirm module/header on S-Max.
Hybrid Battery SOC,HV SOC,22,4028,224028,Auto,Auto,Auto,A*(100/255),0.0,100.0,%,A*(100/255),0.0,100.0,%,Ford Hybrid (Escape/Fusion/Maverick),hybrid_candidate,candidate,User-provided Gemini deepsearch,Not for S-Max production models except if reused in future Ford hybrids; keep as out-of-scope reference.
Hybrid Traction Battery Volts,HV Volts,22,402A,22402A,Auto,Auto,Auto,((A*256)+B)/4,0.0,500.0,V,((A*256)+B)/4,0.0,500.0,V,Ford Hybrid (Escape/Fusion/Maverick),hybrid_candidate,candidate,User-provided Gemini deepsearch,Not for S-Max production models except if reused in future Ford hybrids; keep as out-of-scope reference.
Battery State of Charge,Bat SOC,22,402B,22402B,726,BdyCM/BCM,MS-CAN likely,A-126,0.0,100.0,%,A-126,0.0,100.0,%,Ford BMS (Focus/Ranger/F-150),ford_extended_candidate,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Air Conditioning Compressor Pressure Sensor Voltage,AC Pressure Sensor V,22,9800,229800,Auto,Auto,Auto,((signed(A)*256)+B)/1024,0.0,5.0,V,((signed(A)*256)+B)/1024,0.0,5.0,V,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Engine Load Percentage,Eng Load,22,F404,22F404,Auto,Auto,Auto,A*100/255,0.0,100.0,%,A*100/255,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Short Term Fuel Trim,STFT,22,F406,22F406,Auto,Auto,Auto,(A-128)*100/128,-100.0,100.0,%,(A-128)*100/128,-100.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Long Term Fuel Trim,LTFT,22,F407,22F407,Auto,Auto,Auto,(A-128)*100/128,-100.0,100.0,%,(A-128)*100/128,-100.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Manifold Absolute Pressure,MAP,22,F40B,22F40B,Auto,Auto,Auto,(A/6.894745)/0.145038,0.0,413.6846895296405,kPa,A/6.894745,0.0,60.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Engine Speed,Engine Speed,22,F40C,22F40C,Auto,Auto,Auto,((A*256)+B)/4,0.0,12000.0,RPM,((A*256)+B)/4,0.0,12000.0,RPM,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Vehicle Speed,Vehicle Speed,22,F40D,22F40D,Auto,Auto,Auto,(A * 0.621371)/0.621371,0.0,321.8688995785127,km/h,A * 0.621371,0.0,200.0,mph,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Intake Air Temperature,IAT,22,F40F,22F40F,Auto,Auto,Auto,(((A-40)*1.8+32)-32)*5/9,-40.0,148.88888888888889,°C,(A-40)*1.8+32,-40.0,300.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Distance with MIL,MIL Dist,22,F421,22F421,Auto,Auto,Auto,(((A*256)+B)*0.621371)/0.621371,0.0,52735.000506943514,km,((A*256)+B)*0.621371,0.0,32768.0,mi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
High Pressure Fuel Pressure Actual,HPFP Actual,22,F422,22F422,Auto,Auto,Auto,(((A*256)+B)*1.45038)/0.145038,0.0,24131.60688922903,kPa,((A*256)+B)*1.45038,0.0,3500.0,psi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Fuel Level Input,Fuel Level,22,F42F,22F42F,Auto,Auto,Auto,A*100/255,0.0,100.0,%,A*100/255,0.0,100.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Warm-ups Since DTC Clear,Warm-ups Since Clear,22,F430,22F430,Auto,Auto,Auto,A,0.0,255.0,,A,0.0,255.0,,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Distance travelled since DTC Clear,Dist since DTC Clear,22,F431,22F431,Auto,Auto,Auto,(((A*256)+B)*0.621371)/0.621371,0.0,52735.000506943514,km,((A*256)+B)*0.621371,0.0,32768.0,mi,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Catalyst Temperature,Cat Temp,22,F43C,22F43C,Auto,Auto,Auto,((((((256*A)+B)/10)-40)*1.8+32)-32)*5/9,-17.77777777777778,16648.88888888889,°C,((((256*A)+B)/10)-40)*1.8+32,0.0,30000.0,°F,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Engine Load Actual,Load Actual,22,F443,22F443,Auto,Auto,Auto,((A*256)+B)*100/255,0.0,500.0,%,((A*256)+B)*100/255,0.0,500.0,%,Ford extended candidates from uploaded Ford DID.csv,ford_extended_candidate,candidate,Uploaded Ford DID.csv,Candidate Ford extended PID; confirm on vehicle.
Ambient Air Temp 6.7L,AAT,22,F446,22F446,7E0,PCM/ECM,HS-CAN likely,A-40,-40.0,100.0,°C,((A-40)*9/5)+32,-40.0,212.0,°F,Ford PowerStroke / TDCi,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
EGR Temperature °C,EGR Temp,22,F46B,22F46B,7E0,PCM/ECM,HS-CAN likely,A-40,-40.0,300.0,°C,((A-40)*9/5)+32,-40.0,572.0,°F,Ford PowerStroke / TDCi,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
EGT Post Turbo (EGT11) °F,EGT11 °F,22,F478,22F478,7E0,PCM/ECM,HS-CAN likely,(((((F*256)+G)*0.18)-40)-32)*5/9,-17.77777777777778,982.2222222222222,°C,(((F*256)+G)*0.18)-40,0.0,1800.0,°F,Ford PowerStroke 6.7L [2],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
EGT Post DPF (EGT14) °F,EGT14 °F,22,F47A,22F47A,7E0,PCM/ECM,HS-CAN likely,(((((F*256)+G)*0.18)-40)-32)*5/9,-17.77777777777778,982.2222222222222,°C,(((F*256)+G)*0.18)-40,0.0,1800.0,°F,Ford PowerStroke 6.7L [2],powersroke_non_smax,candidate,User-provided Gemini deepsearch,Mostly non-S-Max; kept as Ford reference candidate.
Avg Dist Between Regens,Avg Regen,22,F48B,22F48B,7E0,PCM/ECM,HS-CAN likely,(F*256)+G,0.0,65535.0,km,((F*256)+G)*0.621371,0.0,40721.548485,mi,Ford TDCi / EcoBlue,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
Distance Since Last Regen,Regen Dist,22,FD8A,22FD8A,7E0,PCM/ECM,HS-CAN likely,(A*256)+B,0.0,65535.0,km,((A*256)+B)*0.621371,0.0,40721.548485,mi,Ford TDCi / PowerStroke,diesel_candidate,candidate,User-provided Gemini deepsearch,"Potentially relevant to S-Max depending on year, engine, and module; validate on vehicle."
